"图解标题：节点数据集"
"#","日期 时间, GMT+08:00","温度, °C (LGR S/N: 20557856, SEN S/N: 20557856-3, LBL: SciChamber_Up)","温度, °C (LGR S/N: 20557856, SEN S/N: 20557856-1, LBL: TwoChamber_Link)","温度, °C (LGR S/N: 20557856, SEN S/N: 20557856-2, LBL: SciChamber_Side)"
1,08/12/2020 11时17分00秒,22.345,21.915,22.082
2,08/12/2020 11时18分00秒,22.465,21.915,22.130
3,08/12/2020 11时19分00秒,22.513,21.915,22.154
4,08/12/2020 11时20分00秒,22.369,21.939,22.130
5,08/12/2020 11时21分00秒,22.393,21.939,22.154
6,08/12/2020 11时22分00秒,22.393,21.939,22.154
7,08/12/2020 11时23分00秒,22.417,21.963,22.154
8,08/12/2020 11时24分00秒,22.417,21.939,22.130
9,08/12/2020 11时25分00秒,22.513,21.963,22.178
10,08/12/2020 11时26分00秒,22.441,21.939,22.130
11,08/12/2020 11时27分00秒,22.489,21.963,22.154
12,08/12/2020 11时28分00秒,22.465,21.987,22.154
13,08/12/2020 11时29分00秒,22.585,21.987,22.154
14,08/12/2020 11时30分00秒,22.537,22.011,22.178
15,08/12/2020 11时31分00秒,22.513,21.963,22.154
16,08/12/2020 11时32分00秒,22.561,21.987,22.178
17,08/12/2020 11时33分00秒,22.441,21.987,22.154
18,08/12/2020 11时34分00秒,22.513,22.011,22.178
19,08/12/2020 11时35分00秒,22.489,22.058,22.202
20,08/12/2020 11时36分00秒,22.489,22.058,22.202
21,08/12/2020 11时37分00秒,22.489,22.011,22.202
22,08/12/2020 11时38分00秒,22.489,22.058,22.202
23,08/12/2020 11时39分00秒,22.489,22.082,22.202
24,08/12/2020 11时40分00秒,22.417,22.034,22.154
25,08/12/2020 11时41分00秒,22.513,22.058,22.202
26,08/12/2020 11时42分00秒,22.537,22.082,22.226
27,08/12/2020 11时43分00秒,22.489,22.011,22.202
28,08/12/2020 11时44分00秒,22.417,22.082,22.202
29,08/12/2020 11时45分00秒,22.489,22.106,22.226
30,08/12/2020 11时46分00秒,22.561,22.082,22.226
31,08/12/2020 11时47分00秒,22.489,22.058,22.202
32,08/12/2020 11时48分00秒,22.465,22.082,22.202
33,08/12/2020 11时49分00秒,22.489,22.058,22.202
34,08/12/2020 11时50分00秒,22.513,22.154,22.250
35,08/12/2020 11时51分00秒,22.489,22.130,22.226
36,08/12/2020 11时52分00秒,22.441,22.106,22.226
37,08/12/2020 11时53分00秒,22.561,22.130,22.250
38,08/12/2020 11时54分00秒,22.489,22.130,22.226
39,08/12/2020 11时55分00秒,22.513,22.082,22.226
40,08/12/2020 11时56分00秒,22.465,22.130,22.202
41,08/12/2020 11时57分00秒,22.561,22.130,22.250
42,08/12/2020 11时58分00秒,22.513,22.106,22.202
43,08/12/2020 11时59分00秒,22.465,22.154,22.250
44,08/12/2020 12时00分00秒,22.537,22.178,22.250
45,08/12/2020 12时01分00秒,22.585,22.106,22.226
46,08/12/2020 12时02分00秒,22.633,22.154,22.226
47,08/12/2020 12时03分00秒,22.609,22.178,22.250
48,08/12/2020 12时04分00秒,22.585,22.154,22.202
49,08/12/2020 12时05分00秒,22.489,22.154,22.178
50,08/12/2020 12时06分00秒,22.561,22.178,22.226
51,08/12/2020 12时07分00秒,22.513,22.202,22.226
52,08/12/2020 12时08分00秒,22.513,22.202,22.226
53,08/12/2020 12时09分00秒,22.465,22.178,22.202
54,08/12/2020 12时10分00秒,22.537,22.226,22.250
55,08/12/2020 12时11分00秒,22.609,22.202,22.250
56,08/12/2020 12时12分00秒,22.609,22.202,22.250
57,08/12/2020 12时13分00秒,22.537,22.226,22.250
58,08/12/2020 12时14分00秒,22.537,22.154,22.226
59,08/12/2020 12时15分00秒,22.537,22.250,22.274
60,08/12/2020 12时16分00秒,22.561,22.226,22.274
61,08/12/2020 12时17分00秒,22.489,22.226,22.250
62,08/12/2020 12时18分00秒,22.537,22.178,22.226
63,08/12/2020 12时19分00秒,22.537,22.250,22.274
64,08/12/2020 12时20分00秒,22.537,22.250,22.274
65,08/12/2020 12时21分00秒,22.561,22.226,22.250
66,08/12/2020 12时22分00秒,22.609,22.226,22.250
67,08/12/2020 12时23分00秒,22.561,22.250,22.274
68,08/12/2020 12时24分00秒,22.537,22.274,22.274
69,08/12/2020 12时25分00秒,22.465,22.250,22.250
70,08/12/2020 12时26分00秒,22.585,22.250,22.274
71,08/12/2020 12时27分00秒,22.609,22.250,22.274
72,08/12/2020 12时28分00秒,22.537,22.226,22.274
73,08/12/2020 12时29分00秒,22.537,22.202,22.274
74,08/12/2020 12时30分00秒,22.561,22.298,22.321
75,08/12/2020 12时31分00秒,22.537,22.274,22.298
76,08/12/2020 12时32分00秒,22.561,22.298,22.298
77,08/12/2020 12时33分00秒,22.561,22.226,22.274
78,08/12/2020 12时34分00秒,22.561,22.298,22.274
79,08/12/2020 12时35分00秒,22.489,22.274,22.274
80,08/12/2020 12时36分00秒,22.537,22.226,22.250
81,08/12/2020 12时37分00秒,22.561,22.298,22.274
82,08/12/2020 12时38分00秒,22.561,22.250,22.274
83,08/12/2020 12时39分00秒,22.633,22.298,22.298
84,08/12/2020 12时40分00秒,22.537,22.298,22.298
85,08/12/2020 12时41分00秒,22.513,22.274,22.250
